# BEAST v10.5.0
# Generated Thu Apr 09 12:59:51 CEST 2026 [seed=1775732390055]
# Binome_6.xml
state	location.rates.CHN.KHM	location.rates.CHN.LAO	location.rates.CHN.THA	location.rates.CHN.VNM	location.rates.KHM.LAO	location.rates.KHM.THA	location.rates.KHM.VNM	location.rates.LAO.THA	location.rates.LAO.VNM	location.rates.THA.VNM	location.indicators.CHN.KHM	location.indicators.CHN.LAO	location.indicators.CHN.THA	location.indicators.CHN.VNM	location.indicators.KHM.LAO	location.indicators.KHM.THA	location.indicators.KHM.VNM	location.indicators.LAO.THA	location.indicators.LAO.VNM	location.indicators.THA.VNM	location.nonZeroRates
6300000	0.5798390493421494	0.854006701428456	0.3327576649130632	0.6967852904239883	0.8754894140419477	1.2086855716232572	1.5828054864500525	0.0031605244419515136	1.376787543991107	1.0485304316856976	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
6400000	0.3308038982619569	0.09505996514239422	3.325378064772164	1.0686114544196081	0.23508790985994807	0.628006979286538	1.5794601854974952	0.0959720351168944	0.7417024809748423	0.9489772079639275	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
6500000	0.32753728775329255	2.081296033786424	0.1709981581330692	1.2232143989209818	0.5641393602127724	0.6207737375870442	1.4081742038062437	0.04487695873991646	0.6578026733502752	0.9621855910784606	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
6600000	0.42057748417839047	5.226283325914905	0.020444686284619887	0.8089598656285752	0.21780828642347108	0.22042439582586693	0.9890923304091515	1.1157524360408895	0.3745696483476829	1.1948407949742044	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
6700000	0.9148094677258267	1.2888238981528717	0.8191603275703245	1.521025507859165	0.9150139893280373	0.3984818042892673	3.8413664346652387	0.4208882931721353	1.0944489710002068	5.289744746820442	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
6800000	0.28170870879830406	0.025820866704764037	0.37645831026765586	1.24535511338599	0.801386611748818	0.7984631170489463	1.9459404666124147	0.4031579356700068	1.4106859631725912	1.6086574177978057	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	7.0
6900000	0.48497029168564165	0.8592055278327758	1.2863953482068415	1.9041522886122693	1.1006345942828346	0.6245695553223212	1.464029445102989	0.232201513599172	0.7229006018122425	1.9713783222416434	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0
7000000	0.3741733310615887	0.004220895333460666	0.1185898064441725	0.7273254266764269	0.580676157076268	0.26619655516152696	1.0700466275937377	1.6817295181319976	0.32803268491382803	1.716426254187138	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
7100000	0.7009693549475549	0.24003465789814296	1.5612980275346084	1.877062518083717	0.8020675187486216	0.27195562730474276	1.7779204999433782	0.21306736413672128	1.1111809046692576	1.7976183754359143	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0
7200000	0.6269878406035461	0.38508824278927317	0.1467117485229766	1.6236044065403354	1.533520034439379	0.9222536409903439	3.2671863378655996	0.9507050563406658	1.7103783614296644	2.314822220303163	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
7300000	0.809646327712843	1.1329448452377364	0.8022740248191661	0.5941200854451139	0.6030201139766274	0.11508620669324648	1.2926529758378327	0.6696501114477065	0.29511408976508274	1.149464860398041	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	7.0
7400000	0.5890049951529917	0.17631164943355346	2.89948615190788	1.5503005768698794	0.3962180062769593	0.5435679165972027	1.6442652325643925	0.12719429984439765	0.8901389767928685	1.946411764495772	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
7500000	1.4419778689400025	0.9905271187623959	0.09128999204012904	2.4628125144621302	1.6846402293532807	1.3329514371301214	2.584013709134255	4.004984259977471	1.3389748619391195	3.6905408469186924	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
7600000	0.3540086208005934	1.5495819709942749	0.07003574241826448	0.5521856487369126	0.5817765412376797	0.2797874359598523	0.7235517077908301	0.6472171736551665	0.3138632116075738	0.7115199148011282	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
7700000	0.5741659973832027	0.13056464090666087	0.15989631591643685	0.9967872112809185	0.8044244945192423	0.41683240036925306	0.8026629363557521	0.3543899088336838	0.547986377986662	1.279287799336108	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
7800000	0.9210709762257664	1.654679350238948	0.3858706039338046	1.1291883720150786	1.07376645960105	0.5601035583011252	2.687809059871412	1.1304953573041268	1.1300534039499022	2.0218581726375247	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
7900000	0.8202087024180906	0.288554214782841	1.8167175335051995	1.866017436190902	0.45351584401317846	0.7534317745228636	1.6440642089146862	0.745664712115146	0.6019263577006857	3.234429575412804	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
8000000	0.8337592707328663	0.7753310205069635	0.38144468820827354	0.7244396015054233	0.1992074789638324	0.5171153325102553	1.1228554271284819	0.046199735897631315	0.6114485536484144	1.432343716937304	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
8100000	0.5394638042602319	0.8552047291141252	1.1004340952163698	1.014849109344047	0.6859694404420406	0.4467623425357308	1.125221697991861	0.23888417432249356	0.9430130188345097	2.062375695299246	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
8200000	1.0103287157732612	0.09687205883484379	0.3445184984477637	2.457181060124074	0.5881331538444553	0.38358282057456383	1.9844829736914762	0.38442530571799344	0.46949189578933864	2.3855478217377684	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
