id,type,length,start_time,end_time,start_name,start_lat,start_lon,end_name,end_lat,end_lon
385,Internal,0.0009048099020984232,2023-07-07 21:07:34,2023-07-08 05:03:08,CHN,35.0,105.0,CHN,35.0,105.0
386,External,0.044514556102907755,2023-07-08 05:03:08,2023-07-24 11:00:00,CHN,35.0,105.0,CHN,35.0,105.0
387,External,0.030815925965893422,2023-07-08 05:03:08,2023-07-19 11:00:00,CHN,35.0,105.0,CHN,35.0,105.0
388,Internal,0.0053583529491695175,2023-06-14 05:09:02,2023-06-16 04:05:23,VNM,16.5,107.5,VNM,16.5,107.5
389,Internal,0.0049292259266601746,2023-06-16 04:05:23,2023-06-17 23:16:11,VNM,16.5,107.5,VNM,16.5,107.5
390,External,0.07257192410317108,2023-06-17 23:16:11,2023-07-14 10:59:59,VNM,16.5,107.5,THA,15.0,100.0
391,External,0.07257192410317108,2023-06-17 23:16:11,2023-07-14 10:59:59,VNM,16.5,107.5,KHM,13.0,105.0
392,Internal,0.022559075661982217,2023-06-16 04:05:23,2023-06-24 09:42:26,VNM,16.5,107.5,VNM,16.5,107.5
393,External,0.07412015655957815,2023-06-24 09:42:26,2023-07-21 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
394,Internal,0.0011189457108778805,2023-06-24 09:42:26,2023-06-24 19:30:33,VNM,16.5,107.5,VNM,16.5,107.5
395,External,0.03738477249259943,2023-06-24 19:30:33,2023-07-08 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
396,External,0.08122038893099982,2023-06-24 19:30:33,2023-07-24 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
397,Internal,0.04017121313201061,2023-06-10 08:29:45,2023-06-25 00:23:45,VNM,16.5,107.5,VNM,16.5,107.5
398,External,0.07792283965336837,2023-06-25 00:23:45,2023-07-23 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
399,External,0.036826949242325366,2023-06-25 00:23:45,2023-07-08 11:00:00,VNM,16.5,107.5,THA,15.0,100.0
400,Internal,0.03096600793831293,2023-06-04 19:23:39,2023-06-16 02:39:23,VNM,16.5,107.5,VNM,16.5,107.5
401,Internal,0.035099936150426544,2023-06-16 02:39:23,2023-06-28 22:07:55,VNM,16.5,107.5,VNM,16.5,107.5
402,Internal,0.00015783808331651383,2023-06-28 22:07:55,2023-06-28 23:30:53,VNM,16.5,107.5,VNM,16.5,107.5
403,External,0.05062617319161544,2023-06-28 23:30:53,2023-07-17 11:00:00,VNM,16.5,107.5,THA,15.0,100.0
404,External,0.056105625246330226,2023-06-28 23:30:53,2023-07-19 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
405,External,0.05900318935700413,2023-06-28 22:07:55,2023-07-20 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
406,External,0.02560997482258638,2023-06-16 02:39:23,2023-06-25 11:00:00,VNM,16.5,107.5,KHM,13.0,105.0
407,Internal,0.002362091041542197,2023-06-04 16:33:54,2023-06-05 13:15:25,VNM,16.5,107.5,VNM,16.5,107.5
408,Internal,0.007158193914354238,2023-06-05 13:15:25,2023-06-08 03:57:45,VNM,16.5,107.5,VNM,16.5,107.5
409,Internal,0.04406057930147336,2023-06-08 03:57:45,2023-06-24 05:56:00,VNM,16.5,107.5,VNM,16.5,107.5
410,External,0.052633171314802496,2023-06-24 05:56:00,2023-07-13 11:00:00,VNM,16.5,107.5,THA,15.0,100.0
411,External,0.052633171314802496,2023-06-24 05:56:00,2023-07-13 11:00:00,VNM,16.5,107.5,KHM,13.0,105.0
412,Internal,0.020999374611484517,2023-06-08 03:57:45,2023-06-15 19:55:02,VNM,16.5,107.5,VNM,16.5,107.5
